id,Titel,Body,Kategorie,Datum,Quelle
133,Alpenverein kontert: Schnee­freie Wander­wege sollen vor­zeitigen Start in die Wander­saison er­mö­glichen,"Wie du mir, so ich dir! Dieses Motto dürfte den Alpenverein dazu bewogen haben, mit einer außergewöhnlichen Maßnahme auf das vorzeitige Ski-Opening diverser Bergbahnen zu reagieren: Schon ab Dezember soll ein Netz von schneefrei gehaltenen Wanderwegen einen wesentlich früheren Start in die Wandersaison und als kostengünstige Alternative zum Alpinskilauf ermöglichen!Josef Feinzmüller, Mediensprecher des Alpenvereins, zu den Beweggründen für das grüne Kontrastprogramm mitten in der verschneiten Winterlandschaft: „Auf Grund von künstlichen Skipisten wie jenem auf der Resterhöhe in Mittersill ist ein ungestörtes Wandern ab Oktober praktisch nicht mehr möglich. Unseren Vereinshütten entsteht durch das Ausbleiben der Wanderer naturgemäß ein enormer finanzieller Schaden.“Um diesen Verlust der Hüttenwirte zu kompensieren, wolle man daher in Zukunft die Wandersaison vorverlegen und mit schneefreien Wanderwegen in den Alpen bereits im Winter in die Wandersaison starten. Ähnlich wie in modernen Fußballstadien soll dabei der Großteil der Gehwege mittels Rasenheizung von Schnee und Eis freigehalten werden, so der Mediensprecher des  größten Bergsteigervereins Österreichs zur technischen Umsetzung.Feinzmüller: „Und überall dort, wo wir auf Grund der harten Gesteinsschichten oder des unwegigen Geländes keine Schneisen für die Rasenheizung reinsprengen können, werden Freiwillige, die sonst im Sommer für die Markierungen der Wege zuständig sind, mittels Salzstreuung und Flammenwerfer dafür sorgen, dass die Sicherheit der Wanderer überall und rund um die Uhr gewährleistet ist!“All jenen, die sich die oftmals geschmalzenen Preise in den Skigebieten ohnehin nicht länger leisten können, dürfte sich durch das zusätzliche Angebot im Winter eine neue, kostengünstige Alternative auftun. Falls Sie heuer zu Weihnachten noch keinen Sikurlaub gebucht haben sollten, nutzen Sie doch gleich diese neue Möglichkeit und genießen statt Brettln und gführigem Schnee einfach einen der zahlreichen alpinen Höhenwege und wandern von Hütte zu Hütte quer durch Österreichs herrlich begrünte Winterlandschaft!",Allgemein,2019-10-20 00:00:00,Entenpost
134,Porsche war gestern: SPÖ-Funk­tio­nä­re star­ten mit Ferrari neu durch,"Fragte man zuletzt jemanden, wofür eigentlich die SPÖ stehe, erntete man entweder ein Schulterzucken oder die Antwort ‚Porsche‘. Kein Wunder, galten die Kraftprotze aus Stuttgart unter SPÖ-Funktionären doch lange Zeit als Sinnbild für sozialdemokratische Werte. Doch das Ergebnis bei der Nationalratswahl hat gezeigt, dass Porsche bei den Wählerinnen und Wählern offenbar nicht mehr ausreichend zieht. Ein Neustart müsse her, hieß es unisono nach der Wahl. Die Richtung stimme zwar, so Partei-Chefin Pamela Rendi-Wagner, doch es brauche mehr Power, mehr Tempo – und vor allem mehr Rot!Ex-Bundesgeschäftsführer Thomas Drozda fährt einen 911er. Tirols SPÖ-Chef Georg Dornauer einen Macan. Wer es in der SPÖ zu etwas gebracht hat, der zeigt dies auch gerne her: Einfache Funktionäre mittels Rolex, Spitzen-Funktionäre mit ihrem Porsche. Oder gar beidem.Doch das Bild, das sozialdemokratische Porsche-Fahrer hinterlassen, scheint nicht mehr zeitgemäß zu sein. Nicht einmal 22% der österreichischen Wählerinnen und Wähler schenkten bei der vergangenen Nationalratswahl der SPÖ ihr Vertrauen!Beim Krisengipfel des SPÖ-Parteipräsidiums unmittelbar nach der Nationalratswahl war einer der Hauptgründe für das Debakel an den Urnen rasch gefunden. SPÖ-Vorsitzende Pamela Rendi-Wagner: „Ein Politiker mit Porsche, das hat bei den Wählerinnen und Wählern unter Jörg Haider und Wolfgang Schüssel gezogen. Doch diese Zeiten sind definitiv vorbei, diese Erkenntnis haben wir in der SPÖ leider ein wenig verschlafen. Die Richtungs stimmt zwar, aber wir müssen an Tempo zulegen!“Um wieder in die Poleposition zu gelangen, müsse man künftig mit noch mehr Speed, noch mehr Power und noch mehr PS angasen, so Rendi-Wagner. Geht es nach der Parteivorsitzenden, werde man zu Parteiveranstaltungen daher schon bald geschlossen per Ferrari und einheitlich in Rot vorfahren.Thomas Drozda wollte den neuen Kurs der SPÖ samt Wechsel von Porsche zum italienischen Rennpferd offenbar nicht mittragen: „Der einfache Arbeiter liebt nun mal seinen Porsche. Bei einem Ferrari besteht meines Erachtens schon ein bisserl die Gefahr, dass uns der eine oder andere Genosse etwas Abgehobenheit vorwerfen könnte.“ Um seinen geliebten 911er behalten zu können, habe er seine Funktion als Bundesgeschäftsführer zurückgelegt und werde künftigt nur noch als einfacher Nationalratsabgeordneter tätig sein.Tirols SPÖ-Chef Georg Dornauer hingegen kann es gar nicht erwarten, seinen lahmen Porsche Macan los zu werden: „Wir dürfen nicht nur vom Neustart reden, jetzt müssen rasch Taten folgen!“ Dieser Elan ist allerdings nicht weiter verwunderlich, hat die Partei in seinem Bundesland das Durchstarten doch bitter nötig: In Tirol schnitt die SPÖ mit etwas mehr als 13% und einem dicken Minus nämlich besonders schwach ab!",Politik,2019-10-15 00:00:00,Entenpost
135,Unfassbar: Wir sind heuer zwei Mal Nobel­preis!,"War schon der Literatur-Nobelpreis 2019 für den österreichischen Schriftsteller Peter Handke eine kleine Überraschung, kommt der diesjährige Satire-Nobelpreis einer Riesen-Sensation gleich: Dieser geht – nicht unverdient aber doch einigermaßen unerwartet – an Die Entenpost! Das österreichische Satireportal erhält damit die wohl bedeutendste Auszeichung des schwedischen Nobelpreis-Komitees und lässt die Alpenrepublik in diesem Jahr gleich zwei Mal jubeln!Vor der Vergabe des Satire-Nobelpreises lagen die Wettquoten für die Entenpost unter ferner liefen. Großer Favorit bei den Buchmachern war eindeutig das US-amerikanische Satire-Magazin ‚The Onion‘. Wenn jemand auf ein europäisches Satire-Portal gesetzt hatte, dann am ehesten noch auf oe24.at!Doch für die Schwedische Akademie war offenbar nicht Größe und Reichweite allein ausschlaggebend! Die Entenpost, ihren Lesern bekannt für den schrägen Humor, erhält den Satire-Nobelpreis ‚für ihr einflussreiches Werk, das mit unglaublichem Witz und sprachlicher Genialität die Peripherie sowie die Spezifizität der menschlichen Erfahrung analysiert‘, so die Begründung des Nobelpreis-Komittees.Artikel wie der Umgefallene Sack Mais in China, die vorübergehende Schließung der Hölle wegen dringender Sanierungsarbeiten oder jener über das wenig befriedigende Abschneiden diverser Religionen bei Stiftung Warentest dürften es der Schwedische Akademie angetan und in ihrer Entscheidung maßgeblich beeinflusst haben.Zwar ist der Satire-Nobelpreis traditionell ein reiner Prestige-Preis, der im Unterschied zu den weniger bedeutenden Auszeichnungen wie dem Chemie- oder Friedens-Nobelpreis mit keinerlei Preisgeld honoriert wird, die Freude darüber ist dennoch riesengroß. Nicht nur bei den Machern der Entenpost sondern bei allen Österreichern! Denn ob WM-Medaille, Oscar, Olympia-Gold oder eben Nobelpreis, jeder hat dazu beigetragen und daher wird auch gemeinsam gewonnen. In diesem Sinne: Wir sind Nobelpreis – und das heuer gleich zwei Mal!",Allgemein,2019-10-13 00:00:00,Entenpost
136,Harry-Potter-Fan Franzis­kus bestätigt: Joanne K. Rowling soll Fort­setz­ung der Bibel schrei­ben,"Gerüchte gab es schon länger, jetzt ist es also fix: Das erfolgreichste Buch aller Zeiten, die Bibel, wird eine Fortsetzung erhalten! Geht es nach den Vorstellungen von Papst Franziskus, soll der dritte Teil der Heiligen Schrift neben den beiden Bestsellern Altes und Neues Testament kommendes Jahr und rechtzeitig zum Weihnachtsgeschäft erhältlich sein. Schreiben soll die Fortsetzung der künftigen Bibel-Trilogie niemand geringerer als Harry Potter-Erfolgsautorin Joanne K. Rowling!Spät aber doch habe man die Zeichen der Zeit erkannt, so Papst Franziskus in seiner Aussendung, in der er die Beweggründe für eine Fortsetzung der Heiligen Schrift beschreibt: „Die Bibel war über Jahrhunderte hinweg das erfolgreichste Buch. Doch gerade bei jungen Lesern ziehen Altes und Neues Testament nicht mehr so wie gewünscht, da sehen wir akuten Handlungsbedarf!“Joanne K. Rowling, so der Papst, habe mit ihren Fantasy-Abenteuern rund um Harry Potter, Albus Dumbledore & Co. Jung und Alt angesprochen und mit ihren Büchern die Massen regelrecht zu begeistern gewusst. Der Pontifex, selbst glühender Potter-Fan, habe daher die britische Erfolgsautorin beauftragt, eine moderne und spannende Fortsetzung der Heiligen Schrift zu schreiben. Mit lediglich einer kleinen inhaltlichen Vorgabe: „Der Heilige Geist, der in den ersten beiden Teilen definitiv zu kurz gekommen ist, soll in der Fortsetzung endlich jene tragende Rolle spielen, die ihm im Sinne der Gleichberechtigung zusteht!“Ansonst, insbesondere was den Titel betrifft, habe die Schöpferin der Potter-Romane freie Hand, so der Papst. Teil III der Bibel solle sich allerdings an den bewährten Rezepten seiner beiden Vorgänger – Massaker, Gemetzel, Teufel, tödliche Plagen, Verrat, Gotteszorn und natürlich jede Menge Fantasy, Wunder und Zauberei – orientieren. Und die patriarchalische Grundeinstellung solle nach Möglichkeit auch in Rowlings Bibel-Fortsetzung erhalten bleiben: Modern und fantasievoll ja, so der Papst, aber der Text dürfe andererseits natürlich nicht zu realitätsfremd sein!Man darf jedenfalls gespannt sein – vor allem, unter welcher Rubrik Rowlings biblisches Werk im Buchhandel zu finden sein wird!",Allgemein,2019-10-10 00:00:00,Entenpost
137,Praktisch: Mit Jö-Karte statt e-card beim Arzt an­mel­den und Bonus­punkte sam­meln,"Wer kennt das nicht: Das Portemonnaie ist prall gefüllt! Doch nicht Geldscheine oder Münzen sondern die vielen Plastikkarten lassen das Geldbörsel anschwellen: Bankomat-Karte, Führerschein, Kreditkarte, Mitgliedskarte im Fitnessclub, Vorteils-Card und so weiter und so fort. Und wer zum Arzt ging, musste bisher darüberhinaus auch noch seine e-card einstecken!Mit dem Jö Bonus Club hat sich zuletzt eine Karte etabliert, die praktischerweise gleich mehrere Unternehmen abdeckt. Sie hat – abgesehen von der genialen Idee des Diskonters Hofer – dafür gesorgt, dass dem Kartenwahn endlich ein Riegel vorgeschoben wurde.Doch der Ö-Bonus Club möchte dem nun noch eins draufsetzen: Geht es nach den Betreibern, sollen Patientinnen und Patienten künftig ihre e-card getrost zu Hause lasssen und sich stattdessen beim Arzt mit ihrer Jö-Karte anmelden können – und dabei praktischerweise kräftig Bonuspunkte sammeln!Die Österreichische Ärztekammer (ÖAK) zeigt sich von den Plänen des Ö-Bonus Clubs angetan. ÖAK-Präsident Thomas Szekeres: „Mit der e-card, die wir von Anfang an kritisiert haben, kann der Arzt eigentlich nur wenig anfangen. Name, Geburtsdatum und Versicherungsnummer – all das gibt ja nicht besonders viel her!“Ganz anders bei den Daten, die auf der Jö-Karte abrufbar seien, so Szekeres: „Oft reicht ein einziger Blick auf die Kaufgewohnheiten des Patienten und der Arzt erspart sich die komplette, meist aufwändige Diagnose. Und kauft ein Patient hauptsächlich bei Merkur ein oder kann sich einen Urlaub mit Billa Reisen leisten, dann kann ihm der Arzt klarerweise ein teureres Rezept verschreiben als beispielsweise dem typischen Penny-Markt Käufer!“Die aktuelle Erweiterung der e-card um ein Foto ist außerdem nicht unumstritten, hebt das Bild doch die Privatsphäre bzw. die Anonymität des Patienten zur Gänze auf. Da die Jö-Card ganz ohne Foto auskommt, sind auch Datenschützer über die geplante e-card-Alternative regelrecht erfreut.  Doch all dem noch nicht genug: Wer sich beim Arzt künftig mit seiner Jö-Karte anmeldet, dem werden pro Arztbesuch satte 50 Ös gutgeschrieben!  Und profitiert in Folge bei den Bonus Club Partnern von diversen Vorteilen und Aktionen. Zum Beispiel -25% auf sämtliche Süßwaren, Frischfleisch oder gar -33% auf Bier.Mit einem Wort: Win-Win für alle – Datenschutz, Patienten, Ärzte und Unternehmen. Daher am besten gleich noch heute bei jö anmelden – und schon morgen ab zum Artz!","Allgemein, Empfehlung",2019-10-05 00:00:00,Entenpost
138,Comeback in Grün: Wechselt Robert Lugar zur Öko­partei?,"Zwar hatte man im Vorfeld mit dem Wiedereinzug in den Nationalrat gerechnet, doch dass jetzt sogar eine Zweierkoalition gemeinsam mit der ÖVP möglich ist, stellt die Grünen vor ein ordentliches Dilemma: Es fehlt schlicht an erfahrenem Personal, um Sondierungs- bzw. Koalitionsgespräche mit den gefinkelten türkis-schwarzen Verhandlungsprofis rund um Sebastian Kurz zu führen!Bereits am Wahlabend wies Werner Kogler mehrfach auf dieses Mitarbeiterproblem seiner Partei hin. Einer, der genau hingehört haben dürfte, ist Robert Lugar. Trotz herber Verluste seiner Partei wäre Lugar sein Mandat bei der FPÖ zwar ziemlich sicher gewesen, dennoch könnte der erfahrene Polit-Allrounder offenbar schon bald die Seiten wechseln und bei der Ökopartei eine neue Herausforderung suchen.Sein Herz schlage in Wirklichkeit schon lange grün, gibt Robert Lugar im Gespräch mit der Entenpost unumwunden zu. Spätestens seit der Wahlschlappe der FPÖ sei ihm jedoch klar geworden, dass das Thema Klimawandel und Umweltschutz Herzensanliegen von ihm seien: ‚Ich war in meiner Partei auch immer schon der einzige, der beispielsweise Tempo-140 auf der Autobahn von Anfang an kritisch hinterfragt habe!‘, so Lugar, dessen Unterarm seit gestern Vormittag ein Greta-Thunberg-Tattoo in Regenbogenfarben ziert.Wenn man bei einem so wichtigen Thema wie dem Klimaschutz einer abgezockten Wirtschaftspartei wie der ÖVP als Gesprächspartner in Koalitionsverhandlungen gegenübersitze, brauche es einen absoluten Politprofi, der für die Grünen das absolute Maximum herausholen könne, so Lugar, der als ‚Querumsteiger‘ seine diesbezügliche Expertise künftig gerne der Ökopartei zur Verfügung stellen möchte.Ein Wechsel von Lugar zu den Grünen käme für die FPÖ einer weiteren Hiobsbotschaft gleich und dürfte das Wahldebakel der Freiheitlichen noch zusätzlich verschärfen. Für die ohnehin schon auf Wolke Sieben schwebenden Wahlgewinner in Grün käme der ehemalige FPÖ-, BZÖ, Team-Stronach- und Wieder-FPÖ-Politiker wohl wie ein Geschenk aus heiterem Himmel. Und sollte Sebastian Kurz tatsächlich einem ergrünten Robert Lugar bei den Koalitionsverhandlungen gegenübersitzen, wird er sich – trotz globaler Erderwärmung – wohl richtig warm anziehen müssen!",Politik,2019-10-01 00:00:00,Entenpost
139,"Sympathie-Ranking: Delfine neuerlich Sieger, Mensch nicht mehr in Top-100","Beinahe alles beim alten im jährlich erstellten Sympathie-Ranking der Bewohner unseres Planeten in der Fachzeitschrift Nature: Wie schon 2018 landeten auch im heurigen Jahr wieder die Delfine mit deutlichem Vorsprung auf Orang Utans und Erdmännchen auf Platz 1. Hingegen nicht mehr unter die Top-100 geschafft hat es der Mensch – er teilt sich seit heuer punktegleich mit den Gelsen nur noch Platz 102!Sie gelten als äußerst fröhliche Wesen, sind extrem sportlich, lebenslustig, intelligent, sauber, ästhetisch und haben zudem eine unglaubliche Empathie: Delfine besitzen eine Reihe beachtlicher und sehr charmanter Merkmale, auf Grund derer sie auch heuer wieder von den Fachleuten des Magazins Nature zu den sympathischsten Lebewesen unseres Planeten gekürt wurden!Beobachtet man die Tiere im freien Ozean, bekommt man den Eindruck, Delfine hätten praktisch immer Spaß. Diesen würden sie gemeinsam mit ihren Artgenossen und einem Freudensprung nach dem anderen teilen, heißt es in der Begründung der Jury zum diesjährigen Ranking: Und das rund um die Uhr, ganz ohne Stimmungsaufheller oder Alkohol!Apropos Spaß: Der Delfin ist eines der wenigen Lebewesen, das Sex nicht nur zur Fortpflanzung praktiziert: Ähnlich den Bonobos oder den Menschen darf’s durchaus auch mal zwischendurch und aus purer Lust sein. Gelegentlich auch mit Partnern des selben Geschlechts!Was die Intelligenz betrifft, können die zu den Zahnwalen gehörenden Säugetiere dem Menschen zwar nicht das Wasser reichen, doch im Unterschied zum Homo sapiens wird das  Delfingehirn in erster Linie für Sinnvolles eingesetzt – beispielsweise für das Retten von in Seenot geratenen Menschen oder für ausgeklügelte Jagdstrategien.Delfine sind brilliante Schwimmer und regelrechte Luftakrobaten. Ihre körperliche Fitness verdanken die Leistungssportler in erster Linie ihrer gesunden Ernährung: Am Speiseplan steht praktisch täglich frischer Fisch – und damit jede Menge der so wichtigen Omega-3-Fettsäuren! Praktisch alle 35 Delfinarten gelten zudem als strikte Nichtraucher.Auf Platz 2 landeten wie schon im Vorjahr Orang Utans, die Erdmännchen verdrängten die Bienen von Rang 3. Weiter abgerutsch ist auch dieses Jahr wieder der Mensch, er scheint erstmals nicht mehr unter den Top-100 der sympathischsten Lebewesen auf. Das Ranking endet zwar mit Platz 100 (Kellerasseln), doch inoffiziell war zu vernehmen, dass unsereins Rang 102 belegte. Punktegleicht übrigens mit Culicidae – besser bekannt als Stechmücken oder Gelsen!","Allgemein, Empfehlung",2019-09-27 00:00:00,Entenpost
140,Sensationsfund: Schüttbilder von Hermann Nitsch in Wiener Metzgerei entdeckt,"Da staunte Djadi Harouni nicht schlecht – in der Metzgerei des Fleischhackers aus Wien Ottakring wurden im Zuge einer Hygiene-Inspektion mehrere Fliesen mit Schüttbildern des weltberühmten Aktionskünstlers Hermann Nitsch entdeckt! Geschätzter Marktwert der Kunstobjekte: 170.000 bis 220.000 Euro – pro Fliese!Eigentlich hätte alles lediglich eine Routine-Überprüfung seines Betriebs am Yppenplatz werden sollen, doch einem der Hygiene-Inspektoren war im Schlachtraum ein alter Stapel Fliesen aufgefallen. Diese, so Harouni, stammten noch von der Zeit, als sein verstorbener Vater die Fleischhackerei betrieben habe. Bei der Renovierung des Schlachtraums seien diese abgenommen und durch Edelstahl-Fliesen ersetzt worden, so Harouni. Er hätte den Plunder eigentlich schon längst wegschmeißen wollen, sei aber bisher noch nicht dazugekommen.Zu Harounis großem Glück, wie sich nun herausstellte, denn die vermeintlichen Fliesen seien in Wahrheit von unglaublichem Wert, so ein hinzugerufener Kunstkritiker, der die Schüttbilder untersucht und deren Echtheit bereits bestätigt habe. Die Werke dürften voraussichtlich Ende des 20. Jahrhunderts entstanden sein und würden ganz deutlich die damaligen Einflüsse von de Sade und Friedrich Nietzsche auf ihren Schöpfer Hermann Nitsch widerspiegeln.Wie bei den meisten Schüttbildern des bekannten österreichischen Malers würden auch die nun entdeckten Werke beim Betrachter zunächst Ekel und Abscheu, doch letztlich die gewünschte Karthasis bewirken, so der Kunstkritiker, der den Wert aller gefundenen Fliesen zusammen auf mehr als eine Million Euro schätzt.Wie die Werke in den Besitz seines Vaters gelangt seien, wisse er beim besten Willen nicht, sein Vater sei eigentlich nie wirklich ein Kunstliebhaber oder -sammler gewesen und nur selten aus seinem Laden in Ottakring hinausgekommen! Er selbst werde die Bilder jedenfalls sicher nicht aufhängen sondern wohl ehestmöglich verkaufen – beim Anblick von Blut werde ihm nämlich leider schlecht, so Fleischhauer Harouni.Seinen Betrieb werde er jedenfalls in ‚Fleischhauerei und Kunstgalerie Harouni‘ umbenennen. Er kenne sich zwar nicht wirklich aus, aber er werde einfach ein paar Sachen aus dem Nachlass seines Vaters ausstellen. Wer weiß, vielleicht ist ja dessen damaliges Schneidbrett in Wahrheit ein Kunstobjekt – und gar noch mehr wert als alle Schüttbilder zusammen!","Allgemein, Empfehlung",2019-09-23 00:00:00,Entenpost
141,Außer Lebensgefahr: Hofer dank Rendi-Wagners raschem Eingreifen wieder fieberfrei,"Dass der Kampf um die Plätze bei der kommenden Nationalratswahl noch spannend bleibt, verdanken wir wohl einzig und allein dem raschen Eingreifen von Pamela Rendi-Wagner: Ohne dem Erste-Hilfe-Köfferchen, das die frühere Ärztin aus alter Gewohnheit immer bei sich trägt, und ihrem raschen Handeln hätte nämlich FPÖ-Spitzenkandidat Norbert Hofer vergangene Woche mit großer Wahrscheinlichkeit bereits das Zeitliche gesegnet!Hofer, so die Bundesparteivorsitzende der SPÖ, rede zwar sonst auch häufig wirres Zeug. Doch beim gemeinsamen Fototermin der Spitzenkandidaten letzte Woche im ORF sei der gelernten Medizinerin sofort aufgefallen, dass der FPÖ-Parteiobmann offenbar bereits in Fieberträume verfallen sei und nur noch wild fantasiert habe.39,4 Grad wurden schließlich bei Hofer gemessen, eine Temperatur, die bei Männern normalerweise letal sei, so Rendi-Wagner. Glücklicherweise habe sie stets einen Defiebrillator bei sich, mit dessen Hilfe sie Norbert Hofers Fieberattacke gerade noch abwehren und seinen sicher scheinenden Tod verhindern habe können: „Da muss man Parteitaktik hintanstellen, als Ärztin war es meine Pflicht, ohne zu zögern Erste-Hilfe zu leisten!“Dank eines rasch angelegten Topfenwickels und zweier Essigpatscherln habe der Zustand Hofers stabilisiert werden können, mittlerweile sei der Burgenländer außer Lebensgefahr und praktisch wieder fieberfrei.Ex-Bundeskanzler Sebastian Kurz habe zwar ebenfalls versucht, zu helfen, wählte aber in all der Hektik und in seinem jugendlichem Leichtsinn statt der Rettung versehentlich die auf seinem Handy für Notfälle gespeicherte Kurzwahltaste von oe24 und brüllte wenig hilfreich und in einer Tour, der Hofer sei heiß!Liste-Jetzt-Chef Peter Pilz witterte übrigens einen Skandal und war sich sicher, Norbert Hofer hätte sein Fieber lediglich vorgetäuscht. Werner Kogler machte sich ob der krass erhöhten Temperatur Norbert Hofers Sorgen um die globale Erderwärmung. NEOS-Chefin Beate Meinl-Reisinger nahm Hofers Erkrankung zum Anlass, einmal mehr absolute Transparenz bei Parteienfinanzen sowie bei Posten- und Auftragsvergaben zu fordern.Parteien und Spitzenkanditaten erwecken den Eindruck, bei dieser Wahl ginge es um Leben und Tod. So mancher Österreicher fiebert wohl eher dem Tag danach entgegen – denn dann kehrt hoffentlich wieder etwas Besonnenheit und Vernunft ein. Und im Hauptabendprogramm ist endlich wieder Zeit für Rosamunde Pilcher!",Politik,2019-09-21 00:00:00,Entenpost
142,Silbereisen: War er der Grund für Silvia Schneiders Liebesaus?,"Sechs Jahre lang waren Silvia Schneider und Andreas Gabalier ein Paar,  nun verkündete die TV-Moderatorin via Facebook die offizielle Trennung vom Volks-Rock’n‘-Roller. Kam wie so oft einfach im verflixten siebten Jahr das vermeintliche Liebesaus? Insidern zufolge kriselte es schon lange – und offenbar gibt es bereits seit Jahresanfang jemand Neuen an Andis Seite! ‚Man hat es nicht leicht auf dieser Welt, wenn man als Manderl auf Weiberl steht‘, meinte Gabalier in seiner Dankesrede beim Amadeus Award 2016. Kenner der Szene interpretierten seine Worte damals bereits dahingehend, dass es in der Beziehung mit Silvia Schneider nicht annähernd so rund lief, wie nach außen gezeigt.Viele seiner häufig als frauenfeindlich missverstandenen Liedtexte dürften aus heutiger Sicht tatsächlich ein stiller Hilfeschrei gewesen sein, mit dem er lediglich zum Ausdruck bringen wollte, für welches Geschlecht sein Herz in Wahrheit  schlug! Auch sein beharrliches Festhalten an den Söhnen in der österreichischen Bundeshymne sei eindeutig als homoerotische Neigung zu interpretieren gewesen, so der renommierte Tiefenpsychologe Prof. Dr. Raimund Höhsel.Einer, an dem die verzweifelten Hilferufe Gabaliers offenbar nicht spurlos vorbeigingen, war Florian Silbereisen: Dessen Beziehung zu Helene Fischer dürfte mindestens genauso reine Show gewesen sein wie jene von Gabalier und Schneider!Insidern zufolge hätten sich Flo und Andi gegenseitig schon immer bewundert, bei Gabaliers Konzert in der Wiener Stadthalle im Dezember 2018 und dem Lied ‚Mei Herz schlogt nur für di‘ habe es dann allerdings zwischen den beiden zum ersten Mal so richtig gefunkt!Für so manchen weiblichen Gabalier- oder Silbereisen-Fan dürfte damit wohl eine Welt zusammenbrechen. Doch spätestens wenn im Fernsehen wieder Die Musi spielt und Andi und Flo erstmals gemeinsam auf der Bühne stehen, könnte all das vergessen und die Schlagerbranche wieder das sein, wofür sie steht – eine heile Welt!",Allgemein,2019-09-17 00:00:00,Entenpost
